arquivo,grupo,extensao,existe_fs,tamanho_bytes
relatorios/atuais/AUDITORIA_CAMADA_SAIDA_CANONICA_V202.md,relatorios/atuais/AUDITORIA_CAMADA_SAIDA_CANONICA_V202.md,.md,True,3463
relatorios/atuais/AUDITORIA_CONSOLE_DIAGNOSTICO_V216.md,relatorios/atuais/AUDITORIA_CONSOLE_DIAGNOSTICO_V216.md,.md,True,24262
relatorios/atuais/AUDITORIA_IMPACTO_CONTAS_FUTURAS_V217.md,relatorios/atuais/AUDITORIA_IMPACTO_CONTAS_FUTURAS_V217.md,.md,True,1824
relatorios/atuais/AUDITORIA_LIMPEZA_RESIDUAL_V201.md,relatorios/atuais/AUDITORIA_LIMPEZA_RESIDUAL_V201.md,.md,True,3846
relatorios/atuais/BACKLOG_CONTRATUAL_FASES_FUTURAS.md,relatorios/atuais/BACKLOG_CONTRATUAL_FASES_FUTURAS.md,.md,True,5731
relatorios/atuais/BASELINE_FUNCIONAL_ESTAVEL_V225.md,relatorios/atuais/BASELINE_FUNCIONAL_ESTAVEL_V225.md,.md,True,1209
relatorios/atuais/CONSOLIDACAO_NOMINAL_GATE_IMPACTO_V223.md,relatorios/atuais/CONSOLIDACAO_NOMINAL_GATE_IMPACTO_V223.md,.md,True,967
relatorios/atuais/CONTRATO_OPERACIONAL_PROJETO.md,relatorios/atuais/CONTRATO_OPERACIONAL_PROJETO.md,.md,True,25044
relatorios/atuais/CORRECAO_CALCULO_DIAS_LOTES_V218.md,relatorios/atuais/CORRECAO_CALCULO_DIAS_LOTES_V218.md,.md,True,2756
relatorios/atuais/CORRECAO_CIRURGICA_V200.md,relatorios/atuais/CORRECAO_CIRURGICA_V200.md,.md,True,1157
relatorios/atuais/CORRECAO_REPRODUTIBILIDADE_DIAS_LOTES_V219.md,relatorios/atuais/CORRECAO_REPRODUTIBILIDADE_DIAS_LOTES_V219.md,.md,True,1466
relatorios/atuais/CORRECAO_SALDOS_FUTUROS_LOTES_V208.md,relatorios/atuais/CORRECAO_SALDOS_FUTUROS_LOTES_V208.md,.md,True,1760
relatorios/atuais/ESPECIFICACAO_SAIDA_OFICIAL.md,relatorios/atuais/ESPECIFICACAO_SAIDA_OFICIAL.md,.md,True,7760
relatorios/atuais/GATE_ECONOMICO_APORTES_PLANEJADOS_V220.md,relatorios/atuais/GATE_ECONOMICO_APORTES_PLANEJADOS_V220.md,.md,True,516
relatorios/atuais/GOVERNANCA_ESTRUTURAL_V206.md,relatorios/atuais/GOVERNANCA_ESTRUTURAL_V206.md,.md,True,1522
relatorios/atuais/GOVERNANCA_FINAL_SCRIPTS_V204.md,relatorios/atuais/GOVERNANCA_FINAL_SCRIPTS_V204.md,.md,True,1597
relatorios/atuais/GOVERNANCA_SCRIPTS_V203.md,relatorios/atuais/GOVERNANCA_SCRIPTS_V203.md,.md,True,2780
relatorios/atuais/HOTFIX_CONSOLE_IMPORTS_V205.md,relatorios/atuais/HOTFIX_CONSOLE_IMPORTS_V205.md,.md,True,1254
relatorios/atuais/HOTFIX_FLUXO_EFETIVO_GATE_ECONOMICO_V222.md,relatorios/atuais/HOTFIX_FLUXO_EFETIVO_GATE_ECONOMICO_V222.md,.md,True,1027
relatorios/atuais/HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,relatorios/atuais/HOTFIX_LIMPEZA_PRE_RELEASE_V224.md,.md,True,886
relatorios/atuais/HOTFIX_RESOLVER_CSV_GATE_ECONOMICO_V221.md,relatorios/atuais/HOTFIX_RESOLVER_CSV_GATE_ECONOMICO_V221.md,.md,True,727
relatorios/atuais/HOTFIX_UTILITARIOS_SERIES_V207.md,relatorios/atuais/HOTFIX_UTILITARIOS_SERIES_V207.md,.md,True,1436
relatorios/atuais/INDICE_DOCUMENTOS_NORMATIVOS_VIGENTES.md,relatorios/atuais/INDICE_DOCUMENTOS_NORMATIVOS_VIGENTES.md,.md,True,2348
relatorios/atuais/INDICE_MESTRE_BASELINES_HISTORICAS.md,relatorios/atuais/INDICE_MESTRE_BASELINES_HISTORICAS.md,.md,True,4301
relatorios/atuais/INDICE_MESTRE_ESTRUTURAS_HISTORICAS.md,relatorios/atuais/INDICE_MESTRE_ESTRUTURAS_HISTORICAS.md,.md,True,2486
relatorios/atuais/INDICE_MESTRE_VALIDACOES_HISTORICAS.md,relatorios/atuais/INDICE_MESTRE_VALIDACOES_HISTORICAS.md,.md,True,2470
relatorios/atuais/INTEGRACAO_FUNCIONAL_APORTES_FUTUROS_V216.md,relatorios/atuais/INTEGRACAO_FUNCIONAL_APORTES_FUTUROS_V216.md,.md,True,4262
relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md,relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md,.md,True,50221
relatorios/atuais/LEIA-ME_OPERACIONAL.md,relatorios/atuais/LEIA-ME_OPERACIONAL.md,.md,True,2811
relatorios/atuais/MAPA_SCRIPTS_V201.md,relatorios/atuais/MAPA_SCRIPTS_V201.md,.md,True,31952
relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,relatorios/atuais/MODELO_MATEMATICO_ESTATISTICO_FINANCEIRO_OFICIAL_V182.md,.md,True,23255
relatorios/atuais/PLANO_LIMPEZA_REPOSITORIO_POS_RD.md,relatorios/atuais/PLANO_LIMPEZA_REPOSITORIO_POS_RD.md,.md,True,1764
relatorios/atuais/PROMOCAO_CONTROLADA_BASELINE_V225.md,relatorios/atuais/PROMOCAO_CONTROLADA_BASELINE_V225.md,.md,True,2420
