arquivo,nome,referencias_operacionais,referencias_diagnostico,referencias_ignoradas,classe_refinada,acao_refinada,exemplos_operacionais,exemplos_diagnostico
scripts/historico_saida_propria_v203/README.md,README.md,1,13,54,PRESERVAR_REFERENCIA_OPERACIONAL,nao_remover,"nucleo/ambiente.py:65:        ""README.md"",","scripts/diagnostico/verificar_release_baseline.py:47:        base / 'README.md', || scripts/diagnostico/verificar_release_baseline.py:49:        base / 'scripts' / 'README.md', || scripts/diagnostico/verificar_release_baseline.py:50:        base / 'saidas' / 'README.md', || scripts/diagnostico/verificar_release_baseline.py:74:        'scripts/diagnostico/README.md', || scripts/diagnostico/verificar_release_baseline.py:75:        'scripts/operacional/README.md',"
scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v133.py,consolidar_grade_diaria_hibrida_v133.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v134.py,consolidar_grade_diaria_hibrida_v134.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v136.py,consolidar_grade_diaria_hibrida_v136.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_parametrizada_v130.py,consolidar_grade_diaria_parametrizada_v130.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v126.py,consolidar_grade_diaria_switching_v126.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v127.py,consolidar_grade_diaria_switching_v127.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v128.py,consolidar_grade_diaria_switching_v128.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v137.py,inspecionar_alocador_pagamentos_terminal_v137.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v141.py,inspecionar_alocador_pagamentos_terminal_v141.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_estrutural_redundancia.py,inspecionar_auditoria_estrutural_redundancia.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_auditoria_estrutural_redundancia.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_estrutural_redundancia.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_runner_futuro_shadow.py,inspecionar_auditoria_runner_futuro_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_auditoria_runner_futuro_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_runner_futuro_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_benchmark_agrupado_individual_shadow.py,inspecionar_benchmark_agrupado_individual_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_benchmark_agrupado_individual_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_benchmark_agrupado_individual_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_benchmark_runner_futuro_shadow.py,inspecionar_benchmark_runner_futuro_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_benchmark_runner_futuro_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_benchmark_runner_futuro_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_casos_reaproveitaveis_proxy_v3_vs_hibrido_shadow.py,inspecionar_casos_reaproveitaveis_proxy_v3_vs_hibrido_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_casos_reaproveitaveis_proxy_v3_vs_hibrido_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_casos_reaproveitaveis_proxy_v3_vs_hibrido_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparador_hibrido_switching_v132.py,inspecionar_comparador_hibrido_switching_v132.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparativo_proxy_v2_v3.py,inspecionar_comparativo_proxy_v2_v3.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_comparativo_proxy_v2_v3.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparativo_proxy_v2_v3.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py,inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_contrato_f1.py,inspecionar_contrato_f1.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_contrato_f1.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_contrato_f1.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py,inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v133.py,inspecionar_grade_diaria_hibrida_v133.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v134.py,inspecionar_grade_diaria_hibrida_v134.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v136.py,inspecionar_grade_diaria_hibrida_v136.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_parametrizada_v130.py,inspecionar_grade_diaria_parametrizada_v130.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v126.py,inspecionar_grade_diaria_switching_v126.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v127.py,inspecionar_grade_diaria_switching_v127.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_integracao_funcional_minima_v117.py,inspecionar_integracao_funcional_minima_v117.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_absorcao_legado.py,inspecionar_mapa_absorcao_legado.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_mapa_absorcao_legado.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_absorcao_legado.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_execucao_principal_script2.py,inspecionar_mapa_execucao_principal_script2.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_mapa_execucao_principal_script2.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_execucao_principal_script2.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_parametros_produtos_switching_v129.py,inspecionar_parametros_produtos_switching_v129.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
