arquivo,subpasta_nivel_2,subpasta_nivel_3,nome,extensao,tamanho_bytes,linhas,versao_detectada
relatorios/historico/artefatos_soltos/extracao_runner_simulador_v157_manifest.json,relatorios/historico,relatorios/historico/artefatos_soltos,extracao_runner_simulador_v157_manifest.json,.json,615,19,157
relatorios/historico/artefatos_soltos/release_check_v177.txt,relatorios/historico,relatorios/historico/artefatos_soltos,release_check_v177.txt,.txt,41,1,177
relatorios/historico/auditorias_especificas/AUDITORIA_ARQUITETURAL_V3.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_ARQUITETURAL_V3.md,.md,2012,49,3
relatorios/historico/auditorias_especificas/AUDITORIA_ATIVACAO_E_EXPANSAO_FUTUROS_V136.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_ATIVACAO_E_EXPANSAO_FUTUROS_V136.md,.md,2747,53,136
relatorios/historico/auditorias_especificas/AUDITORIA_ATIVACAO_LOTES_NAO_APORTADOS_FUTUROS_V136.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_ATIVACAO_LOTES_NAO_APORTADOS_FUTUROS_V136.md,.md,1820,35,136
relatorios/historico/auditorias_especificas/AUDITORIA_CHAVE_TAU_V149_2026-05-04.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_CHAVE_TAU_V149_2026-05-04.md,.md,1714,26,149
relatorios/historico/auditorias_especificas/AUDITORIA_CORRECAO_FLATTENING_V148_2026-05-04.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_CORRECAO_FLATTENING_V148_2026-05-04.md,.md,2112,62,148
relatorios/historico/auditorias_especificas/AUDITORIA_DUPLICACAO_SCRIPTS_V154.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_DUPLICACAO_SCRIPTS_V154.md,.md,2999,71,154
relatorios/historico/auditorias_especificas/AUDITORIA_FECHAMENTO_FRENTE_TEMPORAL_V135.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_FECHAMENTO_FRENTE_TEMPORAL_V135.md,.md,4084,101,135
relatorios/historico/auditorias_especificas/AUDITORIA_JANELA_TAU_SEM_GATE_V151_2026-05-04_2026-05-12.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_JANELA_TAU_SEM_GATE_V151_2026-05-04_2026-05-12.md,.md,5837,94,151
relatorios/historico/auditorias_especificas/AUDITORIA_JANELA_TAU_V150_2026-05-04_2026-05-12.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_JANELA_TAU_V150_2026-05-04_2026-05-12.md,.md,2618,78,150
relatorios/historico/auditorias_especificas/AUDITORIA_LOTE_5680_ABR_V37.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_LOTE_5680_ABR_V37.md,.md,1388,30,37
relatorios/historico/auditorias_especificas/AUDITORIA_POS_VENCIMENTO_V145.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_POS_VENCIMENTO_V145.md,.md,5712,132,145
relatorios/historico/auditorias_especificas/AUDITORIA_REPOSITORIO_V142.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_REPOSITORIO_V142.md,.md,2272,30,142
relatorios/historico/auditorias_especificas/AUDITORIA_TEMATICA_SCRIPTS_TEMPORAIS_V155.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_TEMATICA_SCRIPTS_TEMPORAIS_V155.md,.md,2436,62,155
relatorios/historico/auditorias_especificas/RECALIBRACAO_PLANEJADOR_SWITCHING_TEMPORAL_V120.md,relatorios/historico,relatorios/historico/auditorias_especificas,RECALIBRACAO_PLANEJADOR_SWITCHING_TEMPORAL_V120.md,.md,1135,28,120
relatorios/historico/auditorias_especificas/RECOMPUTACAO_SEQUENCIAL_CENTRAL_V107.md,relatorios/historico,relatorios/historico/auditorias_especificas,RECOMPUTACAO_SEQUENCIAL_CENTRAL_V107.md,.md,950,26,107
relatorios/historico/auditorias_especificas/REORGANIZACAO_ESTRUTURAL_V153.md,relatorios/historico,relatorios/historico/auditorias_especificas,REORGANIZACAO_ESTRUTURAL_V153.md,.md,4459,113,153
relatorios/historico/auditorias_especificas/VALIDACAO_LOCAL_V139.md,relatorios/historico,relatorios/historico/auditorias_especificas,VALIDACAO_LOCAL_V139.md,.md,296,7,139
relatorios/historico/auditorias_especificas/VALIDACAO_LOCAL_V141.md,relatorios/historico,relatorios/historico/auditorias_especificas,VALIDACAO_LOCAL_V141.md,.md,519,12,141
relatorios/historico/auditorias_especificas/VALIDACAO_LOTE_10342_FEV_V36.md,relatorios/historico,relatorios/historico/auditorias_especificas,VALIDACAO_LOTE_10342_FEV_V36.md,.md,2915,82,36
relatorios/historico/auditorias_especificas/VALIDACAO_LOTE_5400_FEV_V35.md,relatorios/historico,relatorios/historico/auditorias_especificas,VALIDACAO_LOTE_5400_FEV_V35.md,.md,1214,25,35
relatorios/historico/auditorias_especificas/ranking/AUDITORIA_RANKING_CARTEIRA_V123.md,relatorios/historico,relatorios/historico/auditorias_especificas,AUDITORIA_RANKING_CARTEIRA_V123.md,.md,890,15,123
relatorios/historico/auditorias_especificas/ranking/SIMULACAO_CENTRAL_CONTROLADA_HORIZONTE_LONGO_V124.md,relatorios/historico,relatorios/historico/auditorias_especificas,SIMULACAO_CENTRAL_CONTROLADA_HORIZONTE_LONGO_V124.md,.md,7395,149,124
