arquivo,nome,categoria_preliminar,referencias_encontradas_fora_do_proprio_arquivo,exemplos_referencias
scripts\diagnostico\consolidar_grade_diaria_hibrida_v133.py,consolidar_grade_diaria_hibrida_v133.py,diagnostico_historico_antigo,14,"scripts/diagnostico/consolidar_grade_diaria_hibrida_v133.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v133.py || scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v133.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v133.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:589:scripts/diagnostico/consolidar_grade_diaria_hibrida_v133.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:674:scripts/historico_raiz/consolidar_grade_diaria_hibrida_v133.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:737:scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v133.py"
scripts\diagnostico\consolidar_grade_diaria_hibrida_v134.py,consolidar_grade_diaria_hibrida_v134.py,diagnostico_historico_antigo,14,"scripts/diagnostico/consolidar_grade_diaria_hibrida_v134.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v134.py || scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v134.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v134.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:590:scripts/diagnostico/consolidar_grade_diaria_hibrida_v134.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:675:scripts/historico_raiz/consolidar_grade_diaria_hibrida_v134.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:738:scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v134.py"
scripts\diagnostico\consolidar_grade_diaria_hibrida_v136.py,consolidar_grade_diaria_hibrida_v136.py,diagnostico_historico_antigo,16,"scripts/diagnostico/consolidar_grade_diaria_hibrida_v136.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v136.py || scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v136.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v136.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:591:scripts/diagnostico/consolidar_grade_diaria_hibrida_v136.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:676:scripts/historico_raiz/consolidar_grade_diaria_hibrida_v136.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:739:scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_hibrida_v136.py"
scripts\diagnostico\consolidar_grade_diaria_parametrizada_v130.py,consolidar_grade_diaria_parametrizada_v130.py,diagnostico_historico_antigo,14,"scripts/diagnostico/consolidar_grade_diaria_parametrizada_v130.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_parametrizada_v130.py || scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_parametrizada_v130.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_parametrizada_v130.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:592:scripts/diagnostico/consolidar_grade_diaria_parametrizada_v130.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:677:scripts/historico_raiz/consolidar_grade_diaria_parametrizada_v130.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:740:scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_parametrizada_v130.py"
scripts\diagnostico\consolidar_grade_diaria_switching_v126.py,consolidar_grade_diaria_switching_v126.py,diagnostico_historico_antigo,14,"scripts/diagnostico/consolidar_grade_diaria_switching_v126.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v126.py || scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v126.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v126.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:593:scripts/diagnostico/consolidar_grade_diaria_switching_v126.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:678:scripts/historico_raiz/consolidar_grade_diaria_switching_v126.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:741:scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v126.py"
scripts\diagnostico\consolidar_grade_diaria_switching_v127.py,consolidar_grade_diaria_switching_v127.py,diagnostico_historico_antigo,14,"scripts/diagnostico/consolidar_grade_diaria_switching_v127.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v127.py || scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v127.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v127.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:594:scripts/diagnostico/consolidar_grade_diaria_switching_v127.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:679:scripts/historico_raiz/consolidar_grade_diaria_switching_v127.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:742:scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v127.py"
scripts\diagnostico\consolidar_grade_diaria_switching_v128.py,consolidar_grade_diaria_switching_v128.py,diagnostico_historico_antigo,14,"scripts/diagnostico/consolidar_grade_diaria_switching_v128.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v128.py || scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v128.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v128.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:595:scripts/diagnostico/consolidar_grade_diaria_switching_v128.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:680:scripts/historico_raiz/consolidar_grade_diaria_switching_v128.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:743:scripts/historico_saida_propria_v203/diagnostico_original/consolidar_grade_diaria_switching_v128.py"
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v137.py,inspecionar_alocador_pagamentos_terminal_v137.py,diagnostico_historico_intermediario,14,"scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v137.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v137.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v137.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v137.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:596:scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v137.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:681:scripts/historico_raiz/inspecionar_alocador_pagamentos_terminal_v137.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:744:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v137.py"
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v141.py,inspecionar_alocador_pagamentos_terminal_v141.py,diagnostico_historico_intermediario,14,"scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v141.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v141.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v141.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v141.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:597:scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v141.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:682:scripts/historico_raiz/inspecionar_alocador_pagamentos_terminal_v141.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:745:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_alocador_pagamentos_terminal_v141.py"
scripts\diagnostico\inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,diagnostico_historico_antigo,16,"scripts/diagnostico/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:599:scripts/diagnostico/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:683:scripts/historico_raiz/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:746:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py"
