arquivo,nome,categoria_preliminar,referencias_operacionais_reais,referencias_diagnostico_wrappers,referencias_ignoradas_documentais_historicas,classe_refinada,acao_refinada,exemplos_operacionais,exemplos_diagnostico
scripts\diagnostico\consolidar_grade_diaria_hibrida_v133.py,consolidar_grade_diaria_hibrida_v133.py,diagnostico_historico_antigo,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\consolidar_grade_diaria_hibrida_v134.py,consolidar_grade_diaria_hibrida_v134.py,diagnostico_historico_antigo,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\consolidar_grade_diaria_hibrida_v136.py,consolidar_grade_diaria_hibrida_v136.py,diagnostico_historico_antigo,0,0,19,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\consolidar_grade_diaria_parametrizada_v130.py,consolidar_grade_diaria_parametrizada_v130.py,diagnostico_historico_antigo,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\consolidar_grade_diaria_switching_v126.py,consolidar_grade_diaria_switching_v126.py,diagnostico_historico_antigo,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\consolidar_grade_diaria_switching_v127.py,consolidar_grade_diaria_switching_v127.py,diagnostico_historico_antigo,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\consolidar_grade_diaria_switching_v128.py,consolidar_grade_diaria_switching_v128.py,diagnostico_historico_antigo,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v137.py,inspecionar_alocador_pagamentos_terminal_v137.py,diagnostico_historico_intermediario,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v141.py,inspecionar_alocador_pagamentos_terminal_v141.py,diagnostico_historico_intermediario,0,0,17,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts\diagnostico\inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,diagnostico_historico_antigo,0,0,19,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
