arquivo,nome,linhas_codigo,categoria_preliminar,acao_preliminar,importa_nucleo,importa_aplicacao,descricao_inicial
scripts\diagnostico\consolidar_grade_diaria_hibrida_v133.py,consolidar_grade_diaria_hibrida_v133.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_hibrida_v134.py,consolidar_grade_diaria_hibrida_v134.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_hibrida_v136.py,consolidar_grade_diaria_hibrida_v136.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_parametrizada_v130.py,consolidar_grade_diaria_parametrizada_v130.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_switching_v126.py,consolidar_grade_diaria_switching_v126.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_switching_v127.py,consolidar_grade_diaria_switching_v127.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\consolidar_grade_diaria_switching_v128.py,consolidar_grade_diaria_switching_v128.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v137.py,inspecionar_alocador_pagamentos_terminal_v137.py,40,diagnostico_historico_intermediario,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_alocador_pagamentos_terminal_v141.py,inspecionar_alocador_pagamentos_terminal_v141.py,40,diagnostico_historico_intermediario,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,inspecionar_ativacao_lotes_nao_aportados_futuros_v136.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_chave_tau_v149.py,inspecionar_chave_tau_v149.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_comparador_hibrido_switching_v132.py,inspecionar_comparador_hibrido_switching_v132.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_contrato_v117.py,inspecionar_contrato_v117.py,31,diagnostico_historico_antigo,candidato_remocao,sim,não,
scripts\diagnostico\inspecionar_correcao_flattening_v148.py,inspecionar_correcao_flattening_v148.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
