data,pacote,origem_registro,estado_inicial_id,pagamentos_do_dia,valor_total_pagamentos_dia,recebidos_disponiveis_inicio_dia,recebidos_ativados_no_dia,lotes_ativos_inicio_dia,lotes_vencidos_normalizados_no_dia,lotes_exauridos_inicio_dia,fontes_disponiveis_inicio_dia,destinos_ranking_elegiveis,candidatos_switching_disponiveis,candidatos_switching_bloqueados_gate,candidatos_switching_promoviveis,candidatos_shadow_total,candidatos_shadow_mapeaveis_no_dia,pacote_construido_no_motor,pacote_avaliado_no_motor,pacote_factivel_no_estado,pacote_materializado_no_fluxo_atual,pacote_vencedor_observado,pacotes_materializados_observados,motivo_nao_construido,motivo_nao_avaliado,motivo_infactibilidade,motivo_descarte,motivo_nao_materializado,valor_objetivo_ou_proxy_terminal,delta_vs_no_action,delta_vs_pay_only,status_ledger_resultante,motivo_ledger_resultante,usa_multifonte,qtd_fontes_pagamento,qtd_pagamentos_multifonte,observacao_auditoria,pacote_candidato_nao_decisorio,dry_run_sem_materializacao
2026-05-07,no_action,fora_janela_do_dia,estado_0001,1,110.0,0,0,0,0,0,0,78,390,151,0,390,390,0,0,0,0,pay_only,pay_only,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pacote_nao_materializado_por_restricao_da_etapa,,,,ok,n/d,0,1,0,n/d,0,0
2026-05-07,switch_only,fora_janela_do_dia,estado_0001,1,110.0,0,0,0,0,0,0,78,390,151,0,390,390,0,0,0,0,pay_only,pay_only,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pacote_nao_materializado_por_restricao_da_etapa,,,,ok,n/d,0,1,0,n/d,0,1
2026-05-07,pay_only,motor_nativo_dry_run,estado_0001,1,110.0,0,0,0,0,0,0,78,390,151,0,390,390,1,1,1,1,pay_only,pay_only,n/d,n/d,n/d,n/d,n/d,,,,ok,n/d,0,1,0,construido_dry_run_nao_decisorio,1,0
2026-05-07,switch_then_pay,motor_nativo_dry_run,estado_0001,1,110.0,0,0,0,0,0,0,78,390,151,0,390,390,1,1,0,0,pay_only,pay_only,n/d,n/d,bloqueado_por_gate,comparador_de_pacotes_ainda_nao_decisorio,bloqueado_por_gate,,,,ok,n/d,0,1,0,construido_dry_run_nao_decisorio,1,1
2026-05-07,pay_then_switch,motor_nativo_dry_run,estado_0001,1,110.0,0,0,0,0,0,0,78,390,151,0,390,390,1,1,0,0,pay_only,pay_only,n/d,n/d,bloqueado_por_gate,comparador_de_pacotes_ainda_nao_decisorio,bloqueado_por_gate,,,,ok,n/d,0,1,0,construido_dry_run_nao_decisorio,1,1
2026-05-08,no_action,fora_janela_do_dia,estado_0002,2,185.0,0,0,0,0,0,0,78,0,0,0,390,0,0,0,0,0,pay_only,pay_only,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pacote_nao_materializado_por_restricao_da_etapa,,,,ok,n/d,0,2,0,n/d,0,0
2026-05-08,switch_only,fora_janela_do_dia,estado_0002,2,185.0,0,0,0,0,0,0,78,0,0,0,390,0,0,0,0,0,pay_only,pay_only,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pacote_nao_materializado_por_restricao_da_etapa,,,,ok,n/d,0,2,0,n/d,0,1
2026-05-08,pay_only,motor_nativo_dry_run,estado_0002,2,185.0,0,0,0,0,0,0,78,0,0,0,390,0,1,1,1,1,pay_only,pay_only,n/d,n/d,n/d,n/d,n/d,,,,ok,n/d,0,2,0,construido_dry_run_nao_decisorio,1,0
2026-05-08,switch_then_pay,motor_nativo_dry_run,estado_0002,2,185.0,0,0,0,0,0,0,78,0,0,0,390,0,1,1,0,0,pay_only,pay_only,n/d,n/d,shadow_sem_mapeamento_diario,comparador_de_pacotes_ainda_nao_decisorio,shadow_sem_mapeamento_diario,,,,ok,n/d,0,2,0,construido_dry_run_nao_decisorio,1,1
2026-05-08,pay_then_switch,motor_nativo_dry_run,estado_0002,2,185.0,0,0,0,0,0,0,78,0,0,0,390,0,1,1,0,0,pay_only,pay_only,n/d,n/d,shadow_sem_mapeamento_diario,comparador_de_pacotes_ainda_nao_decisorio,shadow_sem_mapeamento_diario,,,,ok,n/d,0,2,0,construido_dry_run_nao_decisorio,1,1
2026-05-11,no_action,fora_janela_do_dia,estado_0003,1,98.88,0,0,0,0,0,0,78,0,0,0,390,0,0,0,0,0,pay_only,pay_only,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pacote_nao_materializado_por_restricao_da_etapa,,,,ok,n/d,0,1,0,n/d,0,0
2026-05-11,switch_only,fora_janela_do_dia,estado_0003,1,98.88,0,0,0,0,0,0,78,0,0,0,390,0,0,0,0,0,pay_only,pay_only,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pagamento_obrigatorio_no_dia,comparador_de_pacotes_ainda_nao_decisorio,pacote_nao_materializado_por_restricao_da_etapa,,,,ok,n/d,0,1,0,n/d,0,1
2026-05-11,pay_only,motor_nativo_dry_run,estado_0003,1,98.88,0,0,0,0,0,0,78,0,0,0,390,0,1,1,1,1,pay_only,pay_only,n/d,n/d,n/d,n/d,n/d,,,,ok,n/d,0,1,0,construido_dry_run_nao_decisorio,1,0
