data,pacote,candidatos_matriz,candidatos_shadow_total,candidatos_shadow_por_data,candidatos_shadow_por_lote_ativo,candidatos_shadow_bloqueados,candidatos_shadow_promoviveis,top_motivos_shadow,origem_matriz_atual,origem_shadow_real,divergencia,causa_divergencia,acao_recomendada
2026-05-07,no_action,390,390,390,390,151,0,pacote_nao_materializado_por_restricao_da_etapa,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,False,candidatos_shadow_existentes_mas_sem_promoviveis,usar_motivo_shadow_dominante
2026-05-07,switch_only,390,390,390,390,151,0,pacote_nao_materializado_por_restricao_da_etapa,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,False,candidatos_shadow_existentes_mas_sem_promoviveis,usar_motivo_shadow_dominante
2026-05-07,pay_only,390,390,390,390,151,0,n/d,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,False,candidatos_shadow_existentes_mas_sem_promoviveis,usar_motivo_shadow_dominante
2026-05-07,switch_then_pay,390,390,390,390,151,0,,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,False,candidatos_shadow_existentes_mas_sem_promoviveis,usar_motivo_shadow_dominante
2026-05-07,pay_then_switch,390,390,390,390,151,0,,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,False,candidatos_shadow_existentes_mas_sem_promoviveis,usar_motivo_shadow_dominante
2026-05-08,no_action,0,390,0,0,0,0,pacote_nao_materializado_por_restricao_da_etapa,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,True,shadow_por_lote_sem_mapeamento_diario,nao_inflar_contagem_diaria_sem_data
2026-05-08,switch_only,0,390,0,0,0,0,pacote_nao_materializado_por_restricao_da_etapa,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,True,shadow_por_lote_sem_mapeamento_diario,nao_inflar_contagem_diaria_sem_data
2026-05-08,pay_only,0,390,0,0,0,0,n/d,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,True,shadow_por_lote_sem_mapeamento_diario,nao_inflar_contagem_diaria_sem_data
2026-05-08,switch_then_pay,0,390,0,0,0,0,shadow_sem_mapeamento_diario,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,True,shadow_por_lote_sem_mapeamento_diario,nao_inflar_contagem_diaria_sem_data
2026-05-08,pay_then_switch,0,390,0,0,0,0,shadow_sem_mapeamento_diario,ctx.switching_economico_shadow.quadro_oportunidades,ctx.switching_economico_shadow.quadro_oportunidades,True,shadow_por_lote_sem_mapeamento_diario,nao_inflar_contagem_diaria_sem_data
