produto,ativo,elegivel_saof,saof_final_planilha,rank_final_planilha,horizonte_efetivo_dias,carencia_dias,penalidade_prazo_consolidado,saof_final_prazo_runtime,rank_prazo_runtime,rank_destino_switching,score_console,aparece_top5_planilha,aparece_top5_runtime,interpretacao_divergencia
CDB Genial 220% CDI - 60 dias,Sim,Sim,83.6,1.0,60,60,6.0,77.6,2,2,77.6,True,True,divergencia_por_penalidade_prazo_runtime
Mercado Pago Cofrinho 120% CDI (Meli+),Sim,Sim,79.6,2.0,0,0,0.0,79.6,1,1,79.6,True,True,divergencia_por_penalidade_prazo_runtime
CDB Neon Planejado 150% CDI - 60 dias,Sim,Sim,78.3,3.0,60,60,6.0,72.3,3,3,72.3,True,True,sem_divergencia_relevante
Tesouro Selic 2029,Sim,Sim,73.9,4.0,27,0,2.0,71.9,4,4,71.9,True,True,sem_divergencia_relevante
Mercado Pago Cofrinho 115% CDI,Sim,Sim,71.6,5.0,0,0,0.0,71.6,5,5,71.6,True,True,sem_divergencia_relevante
CDB BMG Escalonado - até 109% CDI - 5 anos,Sim,Sim,70.8,6.0,0,0,0.0,70.8,6,6,70.8,False,False,sem_divergencia_relevante
CDB Sofisa 105%,Sim,Sim,70.8,7.0,0,0,0.0,70.8,7,7,70.8,False,False,sem_divergencia_relevante
CDB InfinitePay 106%,Sim,Sim,66.7,8.0,31,31,6.0,60.7,10,10,60.7,False,False,divergencia_por_penalidade_prazo_runtime
Combo PicPay 100-120 3m,Sim,Sim,65.5,9.0,0,0,0.0,65.5,8,8,65.5,False,False,divergencia_por_penalidade_prazo_runtime
Combo PicPay 100-120 6m,Sim,Sim,65.5,10.0,0,0,0.0,65.5,9,9,65.5,False,False,divergencia_por_penalidade_prazo_runtime
LCA Inter 90 dias,Sim,Sim,63.3,11.0,90,90,10.0,53.3,15,15,53.3,False,False,divergencia_por_penalidade_prazo_runtime
CDB Neon Planejado 119% CDI - 361 dias,Sim,Sim,62.1,12.0,361,361,14.0,48.1,21,21,48.1,False,False,divergencia_por_penalidade_prazo_runtime
"CDB PagBank 15,00%",Sim,Sim,61.3,13.0,180,180,10.0,51.3,17,17,51.3,False,False,divergencia_por_penalidade_prazo_runtime
Tesouro Selic 2031,Sim,Sim,60.8,14.0,35,0,6.0,54.8,13,13,54.8,False,False,divergencia_por_penalidade_prazo_runtime
CDB PagBank 104%,Sim,Sim,60.5,15.0,90,90,10.0,50.5,18,18,50.5,False,False,divergencia_por_penalidade_prazo_runtime
LCI Daycoval Merge,Sim,Sim,60.5,16.0,180,180,10.0,50.5,19,19,50.5,False,False,divergencia_por_penalidade_prazo_runtime
CDB Digimais 140%,Sim,Sim,59.9,17.0,360,360,14.0,45.9,23,23,45.9,False,False,divergencia_por_penalidade_prazo_runtime
CDB Neon Planejado 112% CDI - 90 dias,Sim,Sim,58.7,18.0,90,90,10.0,48.7,20,20,48.7,False,False,divergencia_por_penalidade_prazo_runtime
Tesouro Prefixado 2029,Sim,Sim,58.6,19.0,199,0,14.0,44.6,25,25,44.6,False,False,divergencia_por_penalidade_prazo_runtime
CDB Neon Planejado 120% CDI - 721 dias,Sim,Sim,58.5,20.0,721,721,18.0,40.5,29,29,40.5,False,False,divergencia_por_penalidade_prazo_runtime
CDB Neon Cofrinho Escalonado - 100% a 113% CDI,Sim,Sim,56.8,21.0,0,0,0.0,56.8,11,11,56.8,False,False,divergencia_por_penalidade_prazo_runtime
Riza Lotus Prev XP Seg FIC FIM CP,Sim,Sim,56.4,22.0,181,0,14.0,42.4,28,28,42.4,False,False,divergencia_por_penalidade_prazo_runtime
CDB XP 150%,Sim,Sim,55.5,23.0,0,0,0.0,55.5,12,12,55.5,False,False,divergencia_por_penalidade_prazo_runtime
CDB Neon Planejado 116% CDI - 181 dias,Sim,Sim,54.5,24.0,181,181,14.0,40.5,30,30,40.5,False,False,divergencia_por_penalidade_prazo_runtime
LCI Pós 100% CDI 12m,Sim,Sim,54.4,25.0,360,360,14.0,40.4,31,31,40.4,False,False,divergencia_por_penalidade_prazo_runtime
