pagamento_id,data_pagamento_motor,descricao_motor,valor_motor,lote_recomendado_motor,lote_final_central,lote_sugerido_extrato,estrategia_recomendada_motor,estrategia_extrato,cobertura_integral_recomendada_motor,pagamento_totalmente_coberto_central,cobertura_integral_extrato,saldo_residual_temporal_motor,saldo_remanescente_central,saldo_remanescente_extrato,necessidade_switching_motor,necessita_switching_extrato,origem_mista_detectada,divergencia_lote_motor_central,divergencia_lote_motor_extrato,divergencia_lote_central_extrato,divergencia_estrategia_motor_extrato,divergencia_cobertura_motor_central,divergencia_cobertura_motor_extrato,divergencia_cobertura_central_extrato,divergencia_saldo_motor_central,divergencia_saldo_motor_extrato,divergencia_saldo_central_extrato,divergencia_switching_motor_extrato,fonte_de_verdade_operacional,precedencia_entre_camadas
despesa_auto_00069,2026-04-29,Tratamento Lara,530.0,Lote 3000 mar. B,Lote 3000 mar. B,Lote 3000 mar. B,sem_switching,sem_switching,sim,sim,sim,3466.5,2610.81,2610.81,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00070,2026-05-04,Cartão NU,1500.0,Lote 3000 mar. B,Lote 3000 mar. B,Lote 3000 mar. B,sem_switching,sem_switching,sim,sim,sim,1966.5,1100.74,1100.74,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00071,2026-05-06,Cemig SIM,195.0,Lote 3000 mar. V,Lote 3000 mar. V,Lote 3000 mar. V,sem_switching,sem_switching,sim,sim,sim,3805.91,2969.1,2969.1,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00072,2026-05-06,Faxina Rosa,950.0,Lote 3600 mai.,Lote 3600 mai.,Lote 3600 mai.,sem_switching,sem_switching,sim,sim,sim,0.0,2650.0,2650.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00073,2026-05-08,Claro,120.0,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,16160.0,16160.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00074,2026-05-10,Ginástica Biola,65.0,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,16095.0,16095.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00075,2026-05-11,Cemig,95.05,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,15999.95,15999.95,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00076,2026-05-12,Aluguel,981.95,Lote 3600 mai.,Lote 3600 mai.,Lote 3600 mai.,sem_switching,sem_switching,sim,sim,sim,0.0,1668.05,1668.05,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00077,2026-05-12,Escola,2831.4,Lote 3600 mai.,Lote 3600 mai.,Lote 3600 mai.,sem_switching,sem_switching,sim,sim,sim,0.0,768.6,768.6,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00078,2026-05-12,Pelada,50.0,Lote 3000 mar. V,Lote 3000 mar. V,Lote 3000 mar. V,sem_switching,sem_switching,sim,sim,sim,3755.91,2933.54,2933.54,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00079,2026-05-15,Internet,132.4,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,15867.55,15867.55,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
